Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 150.499107135104790, index i: 2, index j: 86, accumulated_mean: 30.939363908013249  
 population_value: 151.463845001355480, index i: 2, index j: 87, accumulated_mean: 30.939359732410121  
 population_value: 153.393320733856830, index i: 2, index j: 88, accumulated_mean: 30.939359251817113  
 population_value: 151.463845001355480, index i: 2, index j: 89, accumulated_mean: 30.939355076215033  
 population_value: 152.428582867606140, index i: 2, index j: 90, accumulated_mean: 30.939353203926352  
 population_value: 119.627495415083300, index i: 2, index j: 91, accumulated_mean: 30.938760421473212  
 population_value: 150.499107135104790, index i: 2, index j: 92, accumulated_mean: 30.938753030997983  
 population_value: 119.627495415083300, index i: 2, index j: 93, accumulated_mean: 30.938160267673148  
 population_value: 157.252272198859490, index i: 2, index j: 94, accumulated_mean: 30.938156241589798  
 population_value: 151.463845001355480, index i: 2, index j: 95, accumulated_mean: 30.938152066258041  
 population_value: 119.627495415083300, index i: 2, index j: 96, accumulated_mean: 30.937559322086550  
 population_value: 118.662757548832630, index i: 2, index j: 97, accumulated_mean: 30.936933194659467  
 population_value: 156.287534332608830, index i: 2, index j: 98, accumulated_mean: 30.936931421501839  
 population_value: 118.662757548832630, index i: 2, index j: 99, accumulated_mean: 30.936305315212419  
 population_value: 151.463845001355480, index i: 3, index j: 0, accumulated_mean: 30.936301140296539  
 population_value: 119.627495415083300, index i: 3, index j: 1, accumulated_mean: 30.935708455112685  
 population_value: 150.499107135104790, index i: 3, index j: 2, accumulated_mean: 30.935701065851184  
 population_value: 151.463845001355480, index i: 3, index j: 3, accumulated_mean: 30.935696891071071  
 population_value: 154.358058600107480, index i: 3, index j: 4, accumulated_mean: 30.935696890738985  
 population_value: 151.463845001355480, index i: 3, index j: 5, accumulated_mean: 30.935692715959810  
 population_value: 150.499107135104790, index i: 3, index j: 6, accumulated_mean: 30.935685326704569  
 population_value: 118.662757548832630, index i: 3, index j: 7, accumulated_mean: 30.935059262364092  
 population_value: 118.662757548832630, index i: 3, index j: 8, accumulated_mean: 30.934433219098548  
